Date,EventType,Event,Rank,Player,Deck,Wins,Losses,Win Rate
2023-06-17,offline,Paupergeddon Pisa,1,Francini Roberto,Grixis Affinity,13,2,0.8666666666666667
2023-06-17,offline,Paupergeddon Pisa,2,Loss Tommaso,Altar Tron,11,2,0.8461538461538461
2023-06-17,offline,Paupergeddon Pisa,3,Navarra Emanuele,Boros Synth,11,3,0.7857142857142857
2023-06-17,offline,Paupergeddon Pisa,4,Dinarina Mislav,Grixis Affinity,10,2,0.8333333333333334
2023-06-17,offline,Paupergeddon Pisa,5,Spaggiari Filippo,Grixis Affinity,10,2,0.8333333333333334
2023-06-17,offline,Paupergeddon Pisa,6,Mengucci Andrea,Boros Synth,10,3,0.7692307692307693
2023-06-17,offline,Paupergeddon Pisa,7,Beatrice Andrea,Mono Blue Faeries,9,2,0.8181818181818182
2023-06-17,offline,Paupergeddon Pisa,8,Casotto Marco,Boros Synth,8,3,0.7272727272727273
2023-06-17,offline,Paupergeddon Pisa,9,Carocci Pietro,Cawgate,8,2,0.8
2023-06-17,offline,Paupergeddon Pisa,10,Borghi Giovanni maria,Azorius Familiars,8,2,0.8
2023-06-17,offline,Paupergeddon Pisa,11,Manco Pietrangelo,Gruul Ponza,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,12,Zanatta Paolo,Dimir Terror,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,13,Priami Leonardo,Grixis Affinity,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,14,Fantini Alessandro,Cawgate,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,15,Favetta Giovanni,Walls Combo,8,3,0.7272727272727273
2023-06-17,offline,Paupergeddon Pisa,16,Fiorenza Dario,Izzet Faeries,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,17,Candela Marco,Boros Synth,8,3,0.7272727272727273
2023-06-17,offline,Paupergeddon Pisa,18,Barbolini Lorenzo,Unknown Deck,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,19,Ciancia Federico,Boros Synth,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,20,Grasso Nicolo,Azorius Familiars,8,3,0.7272727272727273
2023-06-17,offline,Paupergeddon Pisa,21,Vassallo Marco,Boros Synth,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,22,Kuszynski Jan,Kuldotha Red,9,3,0.75
2023-06-17,offline,Paupergeddon Pisa,23,Buriak Ivan,Golgari Midrange,7,2,0.7777777777777778
2023-06-17,offline,Paupergeddon Pisa,24,Iasi Stefano,Azorius Familiars,7,2,0.7777777777777778
2023-06-17,offline,Paupergeddon Pisa,25,Mangiavillano Benedetto,Mono Blue Faeries,8,2,0.8
2023-06-17,offline,Paupergeddon Pisa,26,Di Lorenzo alessio,Mono Blue Faeries,8,2,0.8
2023-06-17,offline,Paupergeddon Pisa,27,Cibak Andrea,Golgari Midrange,8,3,0.7272727272727273
2023-06-17,offline,Paupergeddon Pisa,28,Melotti Emanuele,Goblin Combo,7,3,0.7
2023-06-17,offline,Paupergeddon Pisa,29,Mattei Andrea,Boros Ephemerate,8,3,0.7272727272727273
2023-06-17,offline,Paupergeddon Pisa,30,Bonato Riccardo,Altar Tron,7,3,0.7
2023-06-17,offline,Paupergeddon Pisa,31,Togores Rodrigo,Azorius Familiars,8,3,0.7272727272727273
2023-06-17,offline,Paupergeddon Pisa,32,Mulato Daniel,Altar Tron,8,3,0.7272727272727273
2023-06-17,offline,Paupergeddon Pisa,33,Zanini Emanuele,Pingers Burn,7,4,0.6363636363636364
2023-06-17,offline,Paupergeddon Pisa,34,Cecconi Alessandro,Golgari Midrange,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,35,Versari Matteo,Mono Blue Faeries,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,36,Bashaj Kevin,Kuldotha Red,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,37,Baldi Remo,Mono Blue Faeries,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,38,Nardulli Mirko,Unknown Deck,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,39,Di Gioia ivano,Mono Blue Faeries,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,40,Bertozzi Alessandro,Dimir Terror,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,41,Reali Gianmarco,Mono Blue Faeries,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,42,Ravenni Niccolo,Bogles,7,4,0.6363636363636364
2023-06-17,offline,Paupergeddon Pisa,43,Ucciero Gennaro,Gruul Ponza,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,44,De Santis marco,Boros Synth,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,45,Santo Alessandro,Slivers,7,4,0.6363636363636364
2023-06-17,offline,Paupergeddon Pisa,46,Bertozzo Francesco,Mono Red Blitz,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,47,Ceridono Riccardo,Kuldotha Red,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,48,Tarricone Francesco,Mono Blue Faeries,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,49,Di Candia morgan,Kuldotha Red,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,50,Benetazzo Carlo,Gruul Ponza,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,51,Moravec Jiri,Mono Blue Faeries,8,4,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,52,Lezzi Matteo angelo,Elves,7,3,0.7
2023-06-17,offline,Paupergeddon Pisa,53,Vinci Vincenzo,Grixis Affinity,7,4,0.6363636363636364
2023-06-17,offline,Paupergeddon Pisa,54,Tittarelli Matteo,Boros Synth,6,4,0.6
2023-06-17,offline,Paupergeddon Pisa,55,Sanino Simone,Walls Combo,7,4,0.6363636363636364
2023-06-17,offline,Paupergeddon Pisa,56,Bruschi Marco,Mono Blue Faeries,7,4,0.6363636363636364
2023-06-17,offline,Paupergeddon Pisa,57,Bergamo Francesco,Mono Blue Faeries,7,4,0.6363636363636364
2023-06-17,offline,Paupergeddon Pisa,58,Artioli Alberto,Cawgate,7,5,0.5833333333333334
2023-06-17,offline,Paupergeddon Pisa,59,Mattera Vincenzo pio,Dimir Terror,7,5,0.5833333333333334
2023-06-17,offline,Paupergeddon Pisa,60,Chianella Jacopo,Dimir Terror,7,5,0.5833333333333334
2023-06-17,offline,Paupergeddon Pisa,61,Giorgio Daniele,Pingers Burn,7,5,0.5833333333333334
2023-06-17,offline,Paupergeddon Pisa,62,Ciuti Ennio,Gruul Ponza,7,5,0.5833333333333334
2023-06-17,offline,Paupergeddon Pisa,63,Cini Luca,Walls Combo,7,5,0.5833333333333334
2023-06-17,offline,Paupergeddon Pisa,64,Sirianni Simone,Bogles,7,5,0.5833333333333334
2023-06-17,offline,Paupergeddon Pisa,65,Costa Gabriele,Walls Combo,7,5,0.5833333333333334
2023-06-17,offline,Paupergeddon Pisa,66,Zanchetta Silvia,Mono Red Blitz,7,5,0.5833333333333334
2023-06-17,offline,Paupergeddon Pisa,67,Leone Alessandro,Grixis Affinity,7,5,0.5833333333333334
2023-06-17,offline,Paupergeddon Pisa,68,Tomei Massimiliano,Gruul Ponza,7,5,0.5833333333333334
2023-06-17,offline,Paupergeddon Pisa,69,Di Cola enrico,Elves,7,5,0.5833333333333334
2023-06-17,offline,Paupergeddon Pisa,70,Pais Enrico,Mono Blue Faeries,7,5,0.5833333333333334
2023-06-17,offline,Paupergeddon Pisa,71,Zanotti Igor,Grixis Affinity,6,5,0.5454545454545454
2023-06-17,offline,Paupergeddon Pisa,72,Privitera Alessandro,Kuldotha Red,7,5,0.5833333333333334
2023-06-17,offline,Paupergeddon Pisa,73,Cacialli Leonardo,Azorius Familiars,7,5,0.5833333333333334
2023-06-17,offline,Paupergeddon Pisa,74,Boventi Matteo,Cawgate,5,4,0.5555555555555556
2023-06-17,offline,Paupergeddon Pisa,75,Esposito Andrea,Mono Blue Faeries,4,4,0.5
2023-06-17,offline,Paupergeddon Pisa,76,Palma Matteo,Jeskai Ephemerate,6,4,0.6
2023-06-17,offline,Paupergeddon Pisa,77,Mingardo Ettore,Walls Combo,6,5,0.5454545454545454
2023-06-17,offline,Paupergeddon Pisa,78,Rosso Giovanni,Cawgate,6,5,0.5454545454545454
2023-06-17,offline,Paupergeddon Pisa,79,Delinavelli Davide,Mono Blue Faeries,5,4,0.5555555555555556
2023-06-17,offline,Paupergeddon Pisa,80,Ferri Paolo,Jund Cascade,6,6,0.5
2023-06-17,offline,Paupergeddon Pisa,81,Ruggiero Andrea,Grixis Affinity,5,6,0.45454545454545453
2023-06-17,offline,Paupergeddon Pisa,82,Migliaccio Daniele,Boros Synth,6,5,0.5454545454545454
2023-06-17,offline,Paupergeddon Pisa,83,Vaglio Federico,Mono Blue Terror,5,6,0.45454545454545453
2023-06-17,offline,Paupergeddon Pisa,84,Caputo Francesco,Pingers Burn,6,6,0.5
2023-06-17,offline,Paupergeddon Pisa,85,Casini Tommaso,Golgari Midrange,6,6,0.5
2023-06-17,offline,Paupergeddon Pisa,86,Hatwieger Dennis,Bogles,6,6,0.5
2023-06-17,offline,Paupergeddon Pisa,87,Bellettini Lorenzo,Izzet Faeries,5,4,0.5555555555555556
2023-06-17,offline,Paupergeddon Pisa,88,Bellettini Riccardo,Goblin Combo,5,5,0.5
2023-06-17,offline,Paupergeddon Pisa,89,Di Gangi matteo,Mono Blue Faeries,5,4,0.5555555555555556
2023-06-17,offline,Paupergeddon Pisa,90,Lazzini Simone,Golgari Midrange,5,5,0.5
2023-06-17,offline,Paupergeddon Pisa,91,Marroni Elia,Dimir Terror,5,3,0.625
2023-06-17,offline,Paupergeddon Pisa,92,Gattai Manuel,Pingers Burn,4,4,0.5
2023-06-17,offline,Paupergeddon Pisa,93,Lacedra Marco,Boros Synth,5,2,0.7142857142857143
2023-06-17,offline,Paupergeddon Pisa,94,Esposito Alfonso gregorio,Mono Blue Faeries,5,3,0.625
2023-06-17,offline,Paupergeddon Pisa,95,Pelliccia Federico,Cawgate,5,2,0.7142857142857143
2023-06-17,offline,Paupergeddon Pisa,96,Neri Sidney,Boros Synth,4,1,0.8
2023-06-17,offline,Paupergeddon Pisa,97,Festa Simone,Golgari Midrange,4,1,0.8
2023-06-17,offline,Paupergeddon Pisa,98,Ripamonti Marco,Mono Blue Faeries,4,1,0.8
2023-06-17,offline,Paupergeddon Pisa,99,Cristofani Michele,Altar Tron,4,1,0.8
2023-06-17,offline,Paupergeddon Pisa,100,Coliva Nahuel,Kuldotha Red,3,2,0.6
2023-06-17,offline,Paupergeddon Pisa,101,Trivella Marco,Azorius Familiars,3,2,0.6
2023-06-17,offline,Paupergeddon Pisa,102,Costanzi Matteo,Golgari Midrange,4,2,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,103,Marini Federico,Azorius Familiars,4,2,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,104,Ciavatta Mirco,Boros Ephemerate,3,2,0.6
2023-06-17,offline,Paupergeddon Pisa,105,Chiavazzo Salvatore,Jeskai Ephemerate,4,2,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,106,Alloni Michele,Pingers Burn,4,2,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,107,Zaninetti Walter,Naya Gates,4,2,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,108,Mazzanti Alessandro,Golgari Midrange,4,2,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,109,Brognoli Roberto,Flicker Tron,4,2,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,110,Lavore Matteo,Altar Tron,4,2,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,111,Puliti Elia,Dimir Faeries,4,2,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,112,Stefanini Killian,Pingers Burn,4,2,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,113,Melani Niccolo,Unknown Deck,4,2,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,114,Dall Ara davide,Unknown Deck,4,2,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,115,Aspe Simeon,Mono Blue Faeries,4,2,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,116,Betori Alessandro,Walls Combo,4,2,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,117,Bevilacqua Gianluca,Grixis Affinity,4,2,0.6666666666666666
2023-06-17,offline,Paupergeddon Pisa,118,Cardona Domenico,Kuldotha Red,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,119,Delli Compagni fabio,Jeskai Ephemerate,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,120,Gelli Lorenzo,Kuldotha Red,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,121,Paini Francesco,Mono Blue Faeries,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,122,Bonazza Mirko,Pingers Burn,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,123,Borella Nicolas,Elves,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,124,Mingione Nicola,Grixis Affinity,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,125,Martegani Leonardo,Unknown Deck,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,126,Pietropaolo Tommaso,Boros Synth,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,127,Provaroni Gian luca,Altar Tron,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,128,Casciola Elio,Pingers Burn,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,129,Brugnami Francesco,Dimir Terror,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,130,Reale Simo,Izzet Faeries,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,131,Pasalic Luka,Cawgate,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,132,Gemignani Luca,Dimir Terror,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,133,Gobbo Matteo,Boros Ephemerate,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,134,Riva Tommaso,Dimir Terror,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,135,Scognamiglio Pasquale,Boros Synth,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,136,Stifanelli Mattia,Gruul Ponza,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,137,Cenami Francesco,Pingers Burn,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,138,Cupini Lorenzo,Pingers Burn,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,139,Sampaolesi Dario,Mono Blue Faeries,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,140,Gentile Daniele,Gruul Ponza,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,141,D Ammora pietro maria,Orzhov Ephemerate,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,142,Venditti Giorgio,Infect Gates,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,143,Comitangelo Fabio,Kuldotha Red,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,144,Duchj Matteo,Boros Ephemerate,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,145,Lancellotti Luca,Mono Blue Faeries,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,146,Guerriero Marco,Infect Gates,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,147,Barberi Simone,Gruul Ponza,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,148,Santo Nicola,Boros Synth,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,149,Feltrin Andrea,Golgari Midrange,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,150,De Zio gabriele,Golgari Midrange,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,151,Biagi Jacopo,Goblin Combo,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,152,Barbagelata Diego,Kuldotha Red,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,153,Sorrentino Luciano,Mono Red Prowess,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,154,Romano Lorenzo,White Weenie,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,155,Tedesco Stefano,Mono Red Blitz,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,156,Vandelli Giacomo,Golgari Midrange,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,157,Benoci Francesco,Pingers Burn,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,158,Giuliani Giacomo,Jeskai Ephemerate,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,159,Alessandro Tomei,Unknown Deck,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,160,Landi Juri,Golgari Midrange,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,161,Moretti Massimiliano,Mono Green Ponza,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,162,Derosa Marco,Walls Combo,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,163,Bertacco Andrea,Kuldotha Red,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,164,Ganghereti Eugenio,Golgari Midrange,3,1,0.75
2023-06-17,offline,Paupergeddon Pisa,165,Stefanello Giacomo,Walls Combo,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,166,Rosa Loris,Mono Blue Faeries,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,167,Gasperi Michele,Cawgate,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,168,Di Chio federico,Turbo Initiative,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,169,Dalmasso Giorgio,Kuldotha Red,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,170,Di Guida imma,Grixis Affinity,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,171,Tescari Marco,Mono Blue Faeries,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,172,Bin Mattia,Boros Synth,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,173,Bacciarelli Samuele,Kuldotha Red,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,174,Miceli Mattia,Gruul Ponza,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,175,Rullo Matteo,Kuldotha Red,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,176,Panaro Francesco,Bogles,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,177,De Simone antonio,Orzhov Ephemerate,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,178,Casale Michael,Mono Blue Faeries,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,179,Poletti Damiano,Naya Gates,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,180,Buonocore Marco,Pingers Burn,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,181,Quondam Vincenzo luca,Walls Cascade,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,182,Ricciardi Alberto b,Walls Combo,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,183,Rossi Marco,Kuldotha Red,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,184,Perks Carl,Azorius Familiars,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,185,Ansaldo Paolo,Grixis Affinity,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,186,Zuiani Matteo,Mono Blue Faeries,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,187,Del Carlo duccio,Mono Blue Faeries,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,188,Vella Nicolo,Mono Blue Faeries,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,189,Ruiz Diaz leandro,Dimir Terror,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,190,Beretta Matteo,Walls Combo,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,191,Baldelli Jonathan,Grixis Affinity,4,3,0.5714285714285714
2023-06-17,offline,Paupergeddon Pisa,192,Tomao Matteo,Boros Synth,2,2,0.5
2023-06-17,offline,Paupergeddon Pisa,193,Mazzucco Edoardo,Cawgate,2,2,0.5
2023-06-17,offline,Paupergeddon Pisa,194,Cordella Edoardo,Tortured Existence,3,2,0.6
2023-06-17,offline,Paupergeddon Pisa,195,Reali Olmo,Walls Combo,3,2,0.6
2023-06-17,offline,Paupergeddon Pisa,196,Acquaroli Matteo,Boros Synth,3,2,0.6
2023-06-17,offline,Paupergeddon Pisa,197,Morgese Elia,Azorius Familiars,2,3,0.4
2023-06-17,offline,Paupergeddon Pisa,198,Gosani Arif,Mono Blue Faeries,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,199,Cirigliano Matteo,Boros Ephemerate,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,200,Franceschini Andrea,Grixis Affinity,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,201,Pinelli Federico,Azorius Familiars,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,202,Caboni Gian carlo,Altar Tron,2,2,0.5
2023-06-17,offline,Paupergeddon Pisa,203,Varisco Roberto,Azorius Faeries,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,204,Fontana Lorenzo,Golgari Midrange,2,3,0.4
2023-06-17,offline,Paupergeddon Pisa,205,Casanova Mattia,Boros Synth,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,206,Ghiara Stefano,Golgari Midrange,3,2,0.6
2023-06-17,offline,Paupergeddon Pisa,207,Marinacci Matteo,Dimir Terror,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,208,Piana Alessio,Mono Blue Faeries,3,2,0.6
2023-06-17,offline,Paupergeddon Pisa,209,Firmani Tiziano,Boros Synth,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,210,Fava Andrea,Grixis Affinity,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,211,Giordano Samuele,Slivers,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,212,Caracciolo Davide,Altar Tron,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,213,Di Marzio ugo,Kuldotha Red,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,214,Dama Davide,Azorius Familiars,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,215,De Francesco nicola,Grixis Affinity,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,216,Baiocco Valerio,Kuldotha Red,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,217,Cacelli Flavio,White Weenie,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,218,Simone Monaldi simone,Grixis Affinity,3,4,0.42857142857142855
2023-06-17,offline,Paupergeddon Pisa,219,Laviola Edoardo,Pingers Burn,3,4,0.42857142857142855
2023-06-17,offline,Paupergeddon Pisa,220,Rosano Antonio,Walls Combo,3,3,0.5
2023-06-17,offline,Paupergeddon Pisa,221,Di Grazia lorenzo,Boros Synth,3,4,0.42857142857142855
2023-06-17,offline,Paupergeddon Pisa,222,Monopoli Cyro,Boros Synth,2,3,0.4
2023-06-17,offline,Paupergeddon Pisa,223,Buttiero Davide,Golgari Midrange,3,4,0.42857142857142855
2023-06-17,offline,Paupergeddon Pisa,224,Romiti Fulvio,Pingers Burn,3,3,0.5
